2026-01-31 11:26:22,101 | INFO | Historical Data | [204/9165] Downloading IEX
2026-01-31 11:26:22,225 | INFO | Historical Data | [205/9165] Downloading AAKASH
2026-01-31 11:26:22,376 | INFO | Historical Data | [206/9165] Downloading ASIANPAINT
2026-01-31 11:26:22,490 | INFO | Historical Data | [207/9165] Downloading ADL
2026-01-31 11:26:22,605 | INFO | Historical Data | [208/9165] Downloading NIRAJ
2026-01-31 11:26:22,733 | INFO | Historical Data | [209/9165] Downloading ATUL
2026-01-31 11:26:22,851 | INFO | Historical Data | [210/9165] Downloading CHEMCON
2026-01-31 11:26:22,974 | INFO | Historical Data | [211/9165] Downloading AUROPHARMA
2026-01-31 11:26:23,092 | INFO | Historical Data | [212/9165] Downloading GICRE
2026-01-31 11:26:23,210 | INFO | Historical Data | [213/9165] Downloading AUTOAXLES
2026-01-31 11:26:23,354 | INFO | Historical Data | [214/9165] Downloading 69PY29-SG
2026-01-31 11:26:23,443 | INFO | Historical Data | [215/9165] Downloading 69AS30A-SG
2026-01-31 11:26:23,530 | INFO | Historical Data | [216/9165] Downloading 683GJ30-SG
2026-01-31 11:26:23,620 | INFO | Historical Data | [217/9165] Downloading 685KA30-SG
2026-01-31 11:26:23,711 | INFO | Historical Data | [218/9165] Downloading 685RJ30-SG
2026-01-31 11:26:23,800 | INFO | Historical Data | [219/9165] Downloading 689GA30-SG
2026-01-31 11:26:23,892 | INFO | Historical Data | [220/9165] Downloading BAJAJHLDNG
2026-01-31 11:26:24,014 | INFO | Historical Data | [221/9165] Downloading 69ML30-SG
2026-01-31 11:26:24,136 | INFO | Historical Data | [222/9165] Downloading 69UP30-SG
2026-01-31 11:26:24,234 | INFO | Historical Data | [223/9165] Downloading BAJAJHIND
2026-01-31 11:26:24,380 | INFO | Historical Data | [224/9165] Downloading 69UK30A-SG
2026-01-31 11:26:24,467 | INFO | Historical Data | [225/9165] Downloading 697KA31-SG
2026-01-31 11:26:24,560 | INFO | Historical Data | [226/9165] Downloading TIINDIA
2026-01-31 11:26:24,687 | INFO | Historical Data | [227/9165] Downloading 71MH32-SG
2026-01-31 11:26:24,774 | INFO | Historical Data | [228/9165] Downloading 696JK35-SG
2026-01-31 11:26:24,863 | INFO | Historical Data | [229/9165] Downloading 704WB35-SG
2026-01-31 11:26:24,952 | INFO | Historical Data | [230/9165] Downloading 705MZ35-SG
2026-01-31 11:26:25,042 | INFO | Historical Data | [231/9165] Downloading BAJFINANCE
2026-01-31 11:26:25,212 | INFO | Historical Data | [232/9165] Downloading 70AP39-SG
2026-01-31 11:26:25,303 | INFO | Historical Data | [233/9165] Downloading 695PN40-SG
2026-01-31 11:26:25,394 | INFO | Historical Data | [234/9165] Downloading 705HR40-SG
2026-01-31 11:26:25,484 | INFO | Historical Data | [235/9165] Downloading 694TS50-SG
2026-01-31 11:26:25,573 | INFO | Historical Data | [236/9165] Downloading ANGELONE
2026-01-31 11:26:25,726 | INFO | Historical Data | [237/9165] Downloading VALIANTORG
2026-01-31 11:26:25,882 | INFO | Historical Data | [238/9165] Downloading BALKRISIND
